Organization Name,Total Stability Rate (All Students),Total Student Mobility Rate (All students),Total Instances of Mobility (All students),Total Mobility Incidence Rate (All students),Students with Disabilities Pupil Count,Students with Disabilities Stable Student Count,Students with Disabilities Stability Rate,Students with Disabilities Mobile Student Count,Students with Disabilities Student Mobility Rate,Students with Disabilities Instances of Mobility,Students with Disabilities Mobility Incidence Rate,English Language Learners Pupil Count,English Language Learners Stable Student Count,English Language Learners Stability Rate,English Language Learners Mobile Student Count,English Language Learners Student Mobility Rate,English Language Learners Instances of Mobility,English Language Learners Mobility Incidence Rate,Economically Disadvantaged Pupil Count,Economically Disadvantaged Stable Student Count,Economically Disadvantaged Stability Rate,Economically Disadvantaged Mobile Student Count,Economically Disadvantaged Student Mobility Rate,Economically Disadvantaged Instances of Mobility,Economically Disadvantaged Mobility Incidence Rate,Migrant Pupil Count,Migrant Stable Student Count,Migrant Stability Rate,Migrant Mobile Student Count,Migrant Student Mobility Rate,Migrant Instances of Mobility,Migrant Mobility Incidence Rate,Title 1 Pupil Count,Title 1 Stable Student Count,Title 1 Pupil Stability Rate,Title 1 Mobile Student Count,Title 1 Student Mobility Rate,Title 1 Instances of Mobility,Title 1 Mobility Incidence Rate,Homeless Pupil Count,Homeless Stable Student Count,Homeless Stability Rate,Homeless Mobile Student Count,Homeless Student Mobility Rate,Homeless Instances of Mobility,Homeless Mobility Incidence Rate,Gifted & Talented Pupil Count,Gifted & Talented Stable Student Count,Gifted & Talented Stability Rate,Gifted & Talented Mobile Student Count,Gifted & Talented Student Mobility Rate,Gifted & Talented Instances of Mobility,Gifted & Talented Mobility Incidence Rate
DOLORES RE-4A,83.00%,17.00%,139,18.70%,84,66,78.60%,18,21.40%,20,23.80%,20,16,80.00%,4,0.2,4,20.00%,321,249,77.60%,72,0.22,81,25.20%,0,0,0.00%,0,0.00%,0,0.00%,435,367,84.40%,68,15.60%,75,17.20%,21,12,57.10%,9,0.43,13,61.90%,22,21,95.50%,1,4.50%,1,4.50%
MANCOS RE-6,82.20%,17.80%,102,20.60%,76,64,84.20%,12,15.80%,15,19.70%,40,34,85.00%,6,0.15,8,20.00%,280,223,79.60%,57,0.20,66,23.60%,1,1,100.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,26,12,46.20%,14,0.54,19,73.10%,35,29,82.90%,6,17.10%,7,20.00%
MONTROSE COUNTY RE-1J,83.70%,16.30%,"1,260",19.30%,843,699,82.90%,144,17.10%,173,20.50%,"1,019",884,86.80%,135,0.132,174,17.10%,"3,264","2,687",82.30%,577,0.18,719,22.00%,57,36,63.20%,21,36.80%,30,52.60%,"2,843","2,422",85.20%,421,14.80%,480,16.90%,313,145,46.30%,168,0.54,212,67.70%,500,483,96.60%,17,3.40%,18,3.60%
WEST END RE-2,79.10%,20.90%,78,26.40%,35,26,74.30%,9,25.70%,11,31.40%,2,2,100.00%,0,0,0,0.00%,187,139,74.30%,48,0.26,62,33.20%,0,0,0.00%,0,0.00%,0,0.00%,200,159,79.50%,41,20.50%,53,26.50%,0,0,0.00%,0,0.00,0,0.00%,5,4,80.00%,1,20.00%,1,20.00%
BRUSH RE-2(J),84.10%,15.90%,315,19.00%,193,150,77.70%,43,22.30%,47,24.40%,232,210,90.50%,22,0.095,23,9.90%,961,783,81.50%,178,0.19,214,22.30%,38,19,50.00%,19,50.00%,22,57.90%,244,220,90.20%,24,9.80%,28,11.50%,61,38,62.30%,23,0.38,31,50.80%,78,76,97.40%,2,2.60%,2,2.60%
FORT MORGAN RE-3,81.60%,18.40%,711,20.90%,430,358,83.30%,72,16.70%,78,18.10%,"1,054",840,79.70%,214,0.203,240,22.80%,"2,369","1,912",80.70%,457,0.19,522,22.00%,296,161,54.40%,135,45.60%,155,52.40%,"1,621","1,333",82.20%,288,17.80%,320,19.70%,327,188,57.50%,139,0.43,171,52.30%,162,159,98.10%,3,1.90%,3,1.90%
WELDON VALLEY RE-20(J),89.50%,10.50%,25,10.50%,29,26,89.70%,3,10.30%,3,10.30%,0,0,0.00%,0,0,0,0.00%,89,82,92.10%,7,0.08,7,7.90%,0,0,0.00%,0,0.00%,0,0.00%,37,36,97.30%,1,2.70%,1,2.70%,11,7,63.60%,4,0.36,4,36.40%,7,7,100.00%,0,0.00%,0,0.00%
WIGGINS RE-50(J),83.80%,16.20%,113,18.20%,54,45,83.30%,9,16.70%,13,24.10%,61,52,85.20%,9,0.148,10,16.40%,272,219,80.50%,53,0.20,63,23.20%,13,7,53.80%,6,46.20%,8,61.50%,440,372,84.50%,68,15.50%,78,17.70%,8,1,12.50%,7,0.88,9,112.50%,27,27,100.00%,0,0.00%,0,0.00%
EAST OTERO R-1,78.90%,21.10%,394,25.80%,243,190,78.20%,53,21.80%,59,24.30%,41,33,80.50%,8,0.195,11,26.80%,"1,150",899,78.20%,251,0.22,313,27.20%,4,3,75.00%,1,25.00%,1,25.00%,875,636,72.70%,239,27.30%,286,32.70%,4,1,25.00%,3,0.75,4,100.00%,48,46,95.80%,2,4.20%,2,4.20%
ROCKY FORD R-2,83.40%,16.60%,170,18.60%,101,81,80.20%,20,19.80%,23,22.80%,56,46,82.10%,10,0.179,11,19.60%,710,586,82.50%,124,0.18,139,19.60%,6,5,83.30%,1,16.70%,1,16.70%,567,466,82.20%,101,17.80%,112,19.80%,2,1,50.00%,1,0.50,1,50.00%,16,15,93.80%,1,6.30%,1,6.30%
MANZANOLA 3J,70.40%,29.60%,63,37.30%,10,8,80.00%,2,20.00%,3,30.00%,28,21,75.00%,7,0.25,8,28.60%,111,80,72.10%,31,0.28,37,33.30%,14,7,50.00%,7,50.00%,8,57.10%,76,53,69.70%,23,30.30%,30,39.50%,0,0,0.00%,0,0.00,0,0.00%,15,15,100.00%,0,0.00%,0,0.00%
FOWLER R-4J,81.30%,18.70%,97,21.40%,50,39,78.00%,11,22.00%,15,30.00%,7,4,57.10%,3,0.429,3,42.90%,265,206,77.70%,59,0.22,69,26.00%,1,1,100.00%,0,0.00%,0,0.00%,56,42,75.00%,14,25.00%,14,25.00%,1,0,0.00%,1,1.00,1,100.00%,27,26,96.30%,1,3.70%,1,3.70%
CHERAW 31,92.30%,7.70%,20,8.60%,33,28,84.80%,5,15.20%,5,15.20%,0,0,0.00%,0,0,0,0.00%,152,137,90.10%,15,0.10,17,11.20%,0,0,0.00%,0,0.00%,0,0.00%,233,215,92.30%,18,7.70%,20,8.60%,0,0,0.00%,0,0.00,0,0.00%,1,1,100.00%,0,0.00%,0,0.00%
