2017 SAT and PSAT10 District and School Results  - EMBARGOED UNTIL 10:00 A.M. ON AUGUST 17TH ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Means are calculated using only valid scores in the denominator.,,,,,,,,,,,,,,,,
* Values suppressed to protect student privacy.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Test,District Number,District Name,School Number,School Name,Total Students,Valid Scores,Evidence Based Reading and Writing Mean Score,Math Mean Score,Overall Mean Score,Participation Percent,2016 Valid Scores,2016 Evidence Based Reading and Writing Mean Score,2016 Math Mean Score,2016 Overall Mean Score,2016 Participation Percent,Mean Overall Score Change
PSAT  ,0740,SIERRA GRANDE R-30,0000,DISTRICT RESULTS,    17,17,487.1,480.6, 967.6,100.0,18,418.3,408.9,827.2,85.7,140.4
PSAT  ,0740,SIERRA GRANDE R-30,7880,SIERRA GRANDE K-12 SCHOOL,    17,17,487.1,480.6, 967.6,100.0,18,418.3,408.9,827.2,85.7,140.4
PSAT  ,0770,CROWLEY COUNTY RE-1-J,0000,DISTRICT RESULTS,    35,32,456.3,446.9, 903.1, 91.4,35,458.6,448.3,906.9,97.2,-3.8
PSAT  ,0770,CROWLEY COUNTY RE-1-J,2058,CROWLEY COUNTY JUNIOR AND SENIOR HIGH SCHOOL,    35,32,456.3,446.9, 903.1, 91.4,35,458.6,448.3,906.9,97.2,-3.8
PSAT  ,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,DISTRICT RESULTS,    31,28,475.0,446.1, 921.1, 90.3,30,464.3,458.3,922.7,93.8,-1.6
PSAT  ,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2092,CUSTER COUNTY HIGH SCHOOL,    31,28,475.0,446.1, 921.1, 90.3,30,464.3,458.3,922.7,93.8,-1.6
PSAT  ,0870,DELTA COUNTY 50(J),0000,DISTRICT RESULTS,   342,326,466.1,457.9, 924.1, 95.3,328,468.0,456.6,924.6,90.6,-0.5
PSAT  ,0870,DELTA COUNTY 50(J),1372,CEDAREDGE HIGH SCHOOL,    64,63,499.4,481.1, 980.5, 98.4,66,486.2,473.9,960.2,90.4,20.3
PSAT  ,0870,DELTA COUNTY 50(J),2155,DELTA COUNTY OPPORTUNITY SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0870,DELTA COUNTY 50(J),2164,DELTA HIGH SCHOOL,   150,144,453.9,461.0, 914.9, 96.0,131,455.3,458.8,914.0,94.2,0.9
PSAT  ,0870,DELTA COUNTY 50(J),2166,DELTA VISION SCHOOL,    31,27,457.4,431.9, 889.3, 87.1,25,476.0,444.8,920.8,83.3,-31.5
PSAT  ,0870,DELTA COUNTY 50(J),4128,HOTCHKISS HIGH SCHOOL,    55,54,466.9,448.9, 915.7, 98.2,52,475.4,441.9,917.3,96.3,-1.6
PSAT  ,0870,DELTA COUNTY 50(J),6708,PAONIA HIGH SCHOOL,    31,30,494.0,454.0, 948.0, 96.8,36,500.3,478.3,978.6,90.0,-30.6
PSAT  ,0880,DENVER COUNTY 1,0000,DISTRICT RESULTS,  5675,5279,453.1,450.1, 903.2, 93.0,4835,450.5,452.5,902.9,78.1,0.3
PSAT  ,0880,DENVER COUNTY 1,0010,ABRAHAM LINCOLN HIGH SCHOOL,   253,238,391.1,416.5, 807.6, 94.1,284,390.4,411.8,802.2,73.0,5.4
PSAT  ,0880,DENVER COUNTY 1,0040,RIDGE VIEW ACADEMY CHARTER SCHOOL,    52,51,389.8,388.6, 778.4, 98.1,25,374.8,385.6,760.4,38.5,18.0
PSAT  ,0880,DENVER COUNTY 1,0067,ACADEMY OF URBAN LEARNING,    25,21,361.4,380.0, 741.4, 84.0,< 16,*,*,*,*,*
PSAT  ,0880,DENVER COUNTY 1,1295,COLLEGIATE PREPARATORY ACADEMY,   104,94,402.6,407.3, 809.9, 90.4,104,397.3,403.2,800.5,67.1,9.4
PSAT  ,0880,DENVER COUNTY 1,1319,CAREER EDUCATION CENTER EARLY COLLEGE,   107,104,439.6,426.5, 866.2, 97.2,113,454.8,457.9,912.7,100.0,-46.5
PSAT  ,0880,DENVER COUNTY 1,1489,COMPASSION ROAD ACADEMY,    44,32,408.4,404.7, 813.1, 72.7,< 16,*,*,*,*,*
PSAT  ,0880,DENVER COUNTY 1,1748,COLORADO HIGH SCHOOL CHARTER,    78,20,393.0,392.0, 785.0, 25.6,23,354.3,361.3,715.7,21.5,69.3
PSAT  ,0880,DENVER COUNTY 1,1866,ACE COMMUNITY CHALLENGE SCHOOL,    54,30,363.7,377.7, 741.3, 55.6,35,364.9,369.4,734.3,46.7,7.0
PSAT  ,0880,DENVER COUNTY 1,2145,DSST: GREEN VALLEY RANCH HIGH SCHOOL,   146,143,484.3,499.0, 983.3, 97.9,140,488.0,515.8,1003.8,96.6,-20.5
PSAT  ,0880,DENVER COUNTY 1,2167,DENVER MONTESSORI JUNIOR/SENIOR HIGH SCHOOL,    24,23,486.5,432.2, 918.7, 95.8,NA,NA,NA,NA,NA,NA
PSAT  ,0880,DENVER COUNTY 1,2175,DSST: COLE HIGH SCHOOL,   120,102,501.0,501.1,1002.1, 85.0,127,482.5,515.7,998.3,96.2,3.8
PSAT  ,0880,DENVER COUNTY 1,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,    87,87,506.2,474.1, 980.3,100.0,86,506.9,479.8,986.6,83.5,-6.3
PSAT  ,0880,DENVER COUNTY 1,2184,DENVER SCHOOL OF THE ARTS,   156,155,578.0,532.4,1110.4, 99.4,172,569.7,521.3,1091.0,99.4,19.4
PSAT  ,0880,DENVER COUNTY 1,2185,DSST: STAPLETON HIGH SCHOOL,   138,138,530.4,536.7,1067.1,100.0,140,526.9,547.2,1074.1,99.3,-7.0
PSAT  ,0880,DENVER COUNTY 1,2188,DENVER CENTER FOR 21ST LEARNING AT WYMAN,    31,18,396.1,401.7, 797.8, 58.1,42,360.2,378.3,738.6,61.8,59.2
PSAT  ,0880,DENVER COUNTY 1,2209,DCIS AT MONTBELLO,   124,122,392.3,421.7, 814.0, 98.4,113,405.6,432.7,838.2,82.5,-24.2
PSAT  ,0880,DENVER COUNTY 1,2241,DENVER SCHOOL OF INNOVATION AND SUSTAINABLE DESIGN,    96,93,509.8,477.7, 987.5, 96.9,,,,,,987.5
PSAT  ,0880,DENVER COUNTY 1,2244,DSST COLLEGE VIEW HIGH SCHOOL,   123,122,454.3,484.2, 938.4, 99.2,NA,NA,NA,NA,NA,NA
PSAT  ,0880,DENVER COUNTY 1,2398,EAST HIGH SCHOOL,   636,615,514.9,497.8,1012.7, 96.7,542,516.3,497.3,1013.7,86.6,-1.0
PSAT  ,0880,DENVER COUNTY 1,2641,EXCEL ACADEMY,*,< 16,*,*,*,*,21,371.9,408.1,780.0,28.0,*
PSAT  ,0880,DENVER COUNTY 1,2726,EMILY GRIFFITH HIGH SCHOOL,*,< 16,*,*,*,*,23,401.3,400.4,801.7,56.1,*
PSAT  ,0880,DENVER COUNTY 1,2755,VENTURE PREP HIGH SCHOOL,    52,52,430.0,417.9, 847.9,100.0,75,410.3,405.5,815.7,92.6,32.2
PSAT  ,0880,DENVER COUNTY 1,2757,HIGH TECH EARLY COLLEGE,   126,121,408.8,418.5, 827.4, 96.0,107,400.6,407.9,808.4,75.4,19.0
PSAT  ,0880,DENVER COUNTY 1,3000,FLORENCE CRITTENTON HIGH SCHOOL,*,< 16,*,*,*,*,19,382.6,395.3,777.9,50.0,*
PSAT  ,0880,DENVER COUNTY 1,3378,GEORGE WASHINGTON HIGH SCHOOL,   328,314,471.4,464.2, 935.6, 95.7,326,496.1,483.8,979.9,84.7,-44.3
PSAT  ,0880,DENVER COUNTY 1,3540,GIRLS ATHLETIC LEADERSHIP SCHOOL HIGH SCHOOL,    37,34,465.6,437.1, 902.6, 91.9,41,490.0,468.8,958.8,91.1,-56.2
PSAT  ,0880,DENVER COUNTY 1,4444,JOHN F KENNEDY HIGH SCHOOL,   224,207,425.1,428.8, 853.9, 92.4,257,427.1,433.9,861.0,82.4,-7.1
PSAT  ,0880,DENVER COUNTY 1,4494,JUSTICE HIGH SCHOOL DENVER,    26,19,377.4,380.0, 757.4, 73.1,< 16,*,*,*,*,*
PSAT  ,0880,DENVER COUNTY 1,4509,KIPP NORTHEAST DENVER LEADERSHIP ACADEMY,   139,139,493.7,472.5, 966.3,100.0,NA,NA,NA,NA,NA,NA
PSAT  ,0880,DENVER COUNTY 1,4730,KIPP DENVER COLLEGIATE HIGH SCHOOL,   102,101,456.9,436.0, 893.0, 99.0,98,452.6,470.6,923.2,96.1,-30.2
PSAT  ,0880,DENVER COUNTY 1,4795,KUNSMILLER CREATIVE ARTS ACADEMY,    67,66,446.8,416.2, 863.0, 98.5,69,434.6,423.9,858.6,93.2,4.4
PSAT  ,0880,DENVER COUNTY 1,5044,LEGACY OPTIONS HIGH SCHOOL,    47,38,371.6,380.8, 752.4, 80.9,NA,NA,NA,NA,NA,NA
PSAT  ,0880,DENVER COUNTY 1,5448,MANUAL HIGH SCHOOL,    64,59,420.5,411.4, 831.9, 92.2,52,392.3,397.5,789.8,69.3,42.1
PSAT  ,0880,DENVER COUNTY 1,5605,DR. MARTIN LUTHER KING JR. EARLY COLLEGE,   172,152,389.4,412.9, 802.3, 88.4,141,411.0,446.5,857.4,70.5,-55.1
PSAT  ,0880,DENVER COUNTY 1,5844,CONTEMPORARY LEARNING ACADEMY,    28,27,386.3,384.1, 770.4, 96.4,21,375.7,379.0,754.8,43.8,15.6
PSAT  ,0880,DENVER COUNTY 1,6239,NOEL COMMUNITY ARTS SCHOOL,    79,77,402.5,414.2, 816.6, 97.5,119,403.4,416.7,820.2,83.8,-3.6
PSAT  ,0880,DENVER COUNTY 1,6308,NORTH HIGH SCHOOL ENGAGEMENT CENTER,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0880,DENVER COUNTY 1,6314,NORTH HIGH SCHOOL,   217,207,408.1,410.7, 818.7, 95.4,178,416.3,420.3,836.6,85.6,-17.9
PSAT  ,0880,DENVER COUNTY 1,6350,BRUCE RANDOLPH SCHOOL,    86,81,404.9,407.0, 812.0, 94.2,96,409.1,408.8,817.8,93.2,-5.8
PSAT  ,0880,DENVER COUNTY 1,6368,NORTHFIELD HIGH SCHOOL,   164,157,493.2,470.3, 963.5, 95.7,NA,NA,NA,NA,NA,NA
PSAT  ,0880,DENVER COUNTY 1,6509,DENVER ONLINE HIGH SCHOOL,    53,46,489.1,466.1, 955.2, 86.8,45,467.1,444.0,911.1,54.2,44.1
PSAT  ,0880,DENVER COUNTY 1,7163,P.R.E.P. (POSITIVE REFOCUS EDUCATION PROGRAM),*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0880,DENVER COUNTY 1,7188,P.U.S.H. ACADEMY,*,< 16,*,*,*,*,16,361.3,396.9,758.1,45.7,*
PSAT  ,0880,DENVER COUNTY 1,7361,RISEUP COMMUNITY SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0880,DENVER COUNTY 1,8086,SOUTH HIGH SCHOOL,   404,382,452.3,446.3, 898.6, 94.6,379,450.7,450.4,901.1,81.5,-2.5
PSAT  ,0880,DENVER COUNTY 1,8132,SOUTHWEST EARLY COLLEGE,    28,28,445.4,441.4, 886.8,100.0,43,417.2,429.5,846.7,89.6,40.1
PSAT  ,0880,DENVER COUNTY 1,8145,SUMMIT ACADEMY,    37,36,371.9,385.0, 756.9, 97.3,51,382.7,381.8,764.5,73.9,-7.6
PSAT  ,0880,DENVER COUNTY 1,8347,STRIVE PREP - EXCEL,    67,59,408.3,427.8, 836.1, 88.1,94,425.0,441.4,866.4,81.7,-30.3
PSAT  ,0880,DENVER COUNTY 1,8822,THOMAS JEFFERSON HIGH SCHOOL,   253,247,480.2,474.1, 954.3, 97.6,248,492.0,477.1,969.0,87.0,-14.7
PSAT  ,0880,DENVER COUNTY 1,8995,VISTA ACADEMY,    58,51,385.7,394.5, 780.2, 87.9,50,388.8,382.6,771.4,87.7,8.8
PSAT  ,0880,DENVER COUNTY 1,9348,WEST CAREER ACADEMY,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0880,DENVER COUNTY 1,9639,STRIVE PREP - SMART ACADEMY,   130,126,423.2,434.4, 857.5, 96.9,120,435.8,452.5,888.3,92.3,-30.8
PSAT  ,0880,DENVER COUNTY 1,9693,WEST EARLY COLLEGE,    83,79,412.9,417.8, 830.8, 95.2,62,396.1,400.0,796.1,72.1,34.7
PSAT  ,0880,DENVER COUNTY 1,9702,WEST LEADERSHIP ACADEMY,    98,86,400.9,409.2, 810.1, 87.8,58,398.3,417.6,815.9,84.1,-5.8
PSAT  ,0890,DOLORES COUNTY RE NO.2,0000,DISTRICT RESULTS,    21,19,438.9,424.2, 863.2, 90.5,< 16,*,*,*,*,*
PSAT  ,0890,DOLORES COUNTY RE NO.2,2216,DOVE CREEK HIGH SCHOOL,    21,19,438.9,424.2, 863.2, 90.5,< 16,*,*,*,*,*
PSAT  ,0900,DOUGLAS COUNTY RE 1,0000,DISTRICT RESULTS,  4873,4491,506.7,498.2,1004.9, 92.2,4174,510.7,501.5,1012.2,86.3,-7.3
PSAT  ,0900,DOUGLAS COUNTY RE 1,0201,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,*,< 16,*,*,*,*,21,454.3,424.8,879.0,100.0,*
PSAT  ,0900,DOUGLAS COUNTY RE 1,1367,CASTLE VIEW HIGH SCHOOL,   571,530,499.8,485.2, 985.0, 92.8,421,493.1,483.2,976.3,83.9,8.7
PSAT  ,0900,DOUGLAS COUNTY RE 1,1503,CHAPARRAL HIGH SCHOOL,   567,505,503.9,500.4,1004.4, 89.1,481,509.6,507.8,1017.4,86.5,-13.0
PSAT  ,0900,DOUGLAS COUNTY RE 1,2230,DOUGLAS COUNTY HIGH SCHOOL,   461,398,492.6,487.8, 980.3, 86.3,435,505.5,499.4,1004.9,87.7,-24.6
PSAT  ,0900,DOUGLAS COUNTY RE 1,2338,EAGLE ACADEMY,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0900,DOUGLAS COUNTY RE 1,3980,HIGHLANDS RANCH HIGH SCHOOL,   441,405,501.7,501.2,1002.8, 91.8,368,506.8,502.3,1009.1,86.8,-6.3
PSAT  ,0900,DOUGLAS COUNTY RE 1,3995,HOPE ONLINE LEARNING ACADEMY HIGH SCHOOL,   120,116,401.3,401.8, 803.1, 96.7,98,393.4,405.2,798.6,87.5,4.5
PSAT  ,0900,DOUGLAS COUNTY RE 1,4271,LEGEND HIGH SCHOOL,   536,504,495.5,479.6, 975.2, 94.0,452,505.8,490.2,996.0,87.3,-20.8
PSAT  ,0900,DOUGLAS COUNTY RE 1,5259,STEM MIDDLE & HIGH SCHOOL,   137,129,573.0,562.6,1135.6, 94.2,92,553.6,556.3,1109.9,92.9,25.7
PSAT  ,0900,DOUGLAS COUNTY RE 1,5405,EDCSD: COLORADO CYBER SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0900,DOUGLAS COUNTY RE 1,6165,MOUNTAIN VISTA HIGH SCHOOL,   562,533,524.8,517.4,1042.2, 94.8,543,524.1,509.8,1033.9,91.3,8.3
PSAT  ,0900,DOUGLAS COUNTY RE 1,6365,SKYVIEW ACADEMY,    71,69,521.3,514.1,1035.4, 97.2,91,531.0,507.8,1038.8,95.8,-3.4
PSAT  ,0900,DOUGLAS COUNTY RE 1,7118,PONDEROSA HIGH SCHOOL,   306,281,496.9,485.6, 982.5, 91.8,285,506.7,499.0,1005.7,85.8,-23.2
PSAT  ,0900,DOUGLAS COUNTY RE 1,7435,ROCK CANYON HIGH SCHOOL,   538,505,538.6,522.4,1061.0, 93.9,493,534.3,516.3,1050.6,95.5,10.4
PSAT  ,0900,DOUGLAS COUNTY RE 1,8847,THUNDERRIDGE HIGH SCHOOL,   517,486,506.7,504.3,1011.0, 94.0,375,521.6,518.4,1040.0,70.1,-29.0
PSAT  ,0910,EAGLE COUNTY RE 50,0000,DISTRICT RESULTS,   481,464,470.1,460.5, 930.6, 96.5,483,474.3,460.8,935.2,89.9,-4.6
PSAT  ,0910,EAGLE COUNTY RE 50,0205,RED CANYON HIGH SCHOOL,*,< 16,*,*,*,*,21,399.5,384.8,784.3,58.3,*
PSAT  ,0910,EAGLE COUNTY RE 50,0604,BATTLE MOUNTAIN HIGH SCHOOL,   211,202,465.9,455.8, 921.8, 95.7,215,475.6,470.2,945.9,93.5,-24.1
PSAT  ,0910,EAGLE COUNTY RE 50,2350,EAGLE VALLEY HIGH SCHOOL,   223,223,468.7,460.8, 929.4,100.0,223,473.5,455.3,928.9,93.3,0.5
PSAT  ,0910,EAGLE COUNTY RE 50,9061,VAIL SKI AND SNOWBOARD ACADEMY (VSSA),    26,26,552.7,535.8,1088.5,100.0,22,536.4,495.0,1031.4,78.6,57.1
PSAT  ,0920,ELIZABETH C-1,0000,DISTRICT RESULTS,   213,161,477.1,460.7, 937.8, 75.6,119,508.9,482.0,990.9,69.2,-53.1
PSAT  ,0920,ELIZABETH C-1,2608,ELIZABETH HIGH SCHOOL,   200,154,480.3,462.5, 942.7, 77.0,104,517.4,492.0,1009.4,69.8,-66.7
PSAT  ,0920,ELIZABETH C-1,3236,FRONTIER HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0930,KIOWA C-2,0000,DISTRICT RESULTS,    21,21,443.3,428.6, 871.9,100.0,18,460.0,446.7,906.7,94.7,-34.8
PSAT  ,0930,KIOWA C-2,4728,KIOWA HIGH SCHOOL,    21,21,443.3,428.6, 871.9,100.0,18,460.0,446.7,906.7,94.7,-34.8
PSAT  ,0940,BIG SANDY 100J,0000,DISTRICT RESULTS,    24,23,462.2,466.5, 928.7, 95.8,20,472.5,498.0,970.5,100.0,-41.8
PSAT  ,0940,BIG SANDY 100J,7922,SIMLA HIGH SCHOOL,    24,23,462.2,466.5, 928.7, 95.8,20,472.5,498.0,970.5,100.0,-41.8
PSAT  ,0950,ELBERT 200,0000,DISTRICT RESULTS,    21,19,473.7,456.8, 930.5, 90.5,< 16,*,*,*,*,*
PSAT  ,0950,ELBERT 200,2574,ELBERT JUNIOR-SENIOR HIGH SCHOOL,    21,19,473.7,456.8, 930.5, 90.5,< 16,*,*,*,*,*
PSAT  ,0970,CALHAN RJ-1,0000,DISTRICT RESULTS,    34,34,450.9,416.2, 867.1,100.0,48,468.3,434.8,903.1,80.0,-36.0
PSAT  ,0970,CALHAN RJ-1,1218,CALHAN HIGH SCHOOL,    34,34,450.9,416.2, 867.1,100.0,48,468.3,434.8,903.1,80.0,-36.0
PSAT  ,0980,HARRISON 2,0000,DISTRICT RESULTS,   638,607,462.3,440.0, 902.2, 95.1,653,447.0,449.1,896.2,94.2,6.0
PSAT  ,0980,HARRISON 2,0469,ATLAS PREPARATORY HIGH SCHOOL,   112,112,463.8,424.3, 888.1,100.0,83,424.2,430.6,854.8,97.6,33.3
PSAT  ,0980,HARRISON 2,3806,HARRISON HIGH SCHOOL,   221,210,456.1,437.3, 893.4, 95.0,257,436.8,449.9,886.7,93.1,6.7
PSAT  ,0980,HARRISON 2,3870,HIGH SCHOOL PREPARATORY ACADEMY,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0980,HARRISON 2,4378,JAMES IRWIN CHARTER HIGH SCHOOL,   105,105,519.2,504.1,1023.3,100.0,123,508.2,493.0,1001.2,100.0,22.1
PSAT  ,0980,HARRISON 2,7882,SIERRA HIGH SCHOOL,   189,172,436.9,415.2, 852.2, 91.0,185,432.5,429.2,861.7,91.1,-9.5
PSAT  ,0990,WIDEFIELD 3,0000,DISTRICT RESULTS,   649,612,454.1,452.3, 906.4, 94.3,601,450.9,448.6,899.5,93.9,6.9
PSAT  ,0990,WIDEFIELD 3,5841,MESA RIDGE HIGH SCHOOL,   317,296,459.0,457.1, 916.1, 93.4,310,455.1,453.5,908.6,93.7,7.5
PSAT  ,0990,WIDEFIELD 3,9560,DISCOVERY HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0990,WIDEFIELD 3,9566,WIDEFIELD HIGH SCHOOL,   320,304,452.6,450.6, 903.1, 95.0,277,447.8,445.3,893.2,94.2,9.9
PSAT  ,1000,FOUNTAIN 8,0000,DISTRICT RESULTS,   492,465,459.2,447.1, 906.3, 94.5,479,465.3,449.1,914.4,98.2,-8.1
PSAT  ,1000,FOUNTAIN 8,0203,WELTE EDUCATION CENTER,    22,16,401.9,391.9, 793.8, 72.7,28,399.6,381.4,781.1,96.6,12.7
PSAT  ,1000,FOUNTAIN 8,3110,FOUNTAIN-FORT CARSON HIGH SCHOOL,   470,449,461.2,449.1, 910.3, 95.5,451,469.3,453.3,922.6,98.5,-12.3
PSAT  ,1010,COLORADO SPRINGS 11,0000,DISTRICT RESULTS,  1845,1699,462.0,447.8, 909.8, 92.1,1618,458.7,448.9,907.5,86.0,2.3
PSAT  ,1010,COLORADO SPRINGS 11,0269,ACHIEVE ONLINE,    45,37,452.7,416.2, 868.9, 82.2,35,452.9,409.4,862.3,97.2,6.6
PSAT  ,1010,COLORADO SPRINGS 11,0871,THE BIJOU SCHOOL,    44,42,405.2,403.6, 808.8, 95.5,17,408.2,388.2,796.5,89.5,12.3
PSAT  ,1010,COLORADO SPRINGS 11,1616,CIVA CHARTER ACADEMY,    49,48,498.8,469.6, 968.3, 98.0,43,472.3,464.4,936.7,100.0,31.6
PSAT  ,1010,COLORADO SPRINGS 11,1870,CORONADO HIGH SCHOOL,   341,319,486.3,465.7, 952.0, 93.5,346,481.4,478.1,959.5,86.7,-7.5
PSAT  ,1010,COLORADO SPRINGS 11,1885,COMMUNITY PREP CHARTER SCHOOL,    31,20,397.0,384.5, 781.5, 64.5,< 16,*,*,*,*,*
PSAT  ,1010,COLORADO SPRINGS 11,2202,DOHERTY HIGH SCHOOL,   491,466,479.6,469.7, 949.4, 94.9,430,469.2,454.2,923.4,90.3,26.0
PSAT  ,1010,COLORADO SPRINGS 11,2400,EARLY COLLEGE HIGH SCHOOL,    23,22,468.6,450.9, 919.5, 95.7,30,449.0,436.3,885.3,85.7,34.2
PSAT  ,1010,COLORADO SPRINGS 11,2528,NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,    30,25,376.0,384.4, 760.4, 83.3,38,387.6,406.1,793.7,86.4,-33.3
PSAT  ,1010,COLORADO SPRINGS 11,5146,LIFE SKILLS CENTER OF COLORADO SPRINGS,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,1010,COLORADO SPRINGS 11,5948,MITCHELL HIGH SCHOOL,   355,318,418.7,412.6, 831.4, 89.6,284,421.8,418.0,839.8,83.3,-8.4
PSAT  ,1010,COLORADO SPRINGS 11,6680,PALMER HIGH SCHOOL,   410,387,469.7,451.1, 920.8, 94.4,371,467.5,453.1,920.6,88.1,0.2
PSAT  ,1020,CHEYENNE MOUNTAIN 12,0000,DISTRICT RESULTS,   414,404,543.0,542.6,1085.6, 97.6,365,543.9,540.8,1084.7,96.3,0.9
PSAT  ,1020,CHEYENNE MOUNTAIN 12,1590,CHEYENNE MOUNTAIN HIGH SCHOOL,   326,321,533.1,539.2,1072.3, 98.5,289,535.3,535.0,1070.3,96.0,2.0
PSAT  ,1020,CHEYENNE MOUNTAIN 12,9057,THE VANGUARD SCHOOL (HIGH),    88,83,581.6,555.7,1137.2, 94.3,76,576.7,563.0,1139.7,98.7,-2.5
PSAT  ,1030,MANITOU SPRINGS 14,0000,DISTRICT RESULTS,   115,109,488.3,482.5, 970.7, 94.8,103,478.3,459.4,937.7,85.1,33.0
PSAT  ,1030,MANITOU SPRINGS 14,5468,MANITOU SPRINGS HIGH SCHOOL,   115,109,488.3,482.5, 970.7, 94.8,103,478.3,459.4,937.7,85.8,33.0
PSAT  ,1040,ACADEMY 20,0000,DISTRICT RESULTS,  2116,1987,517.3,502.8,1020.1, 93.9,2050,513.8,498.5,1012.3,96.7,7.8
PSAT  ,1040,ACADEMY 20,0076,AIR ACADEMY HIGH SCHOOL,   321,309,521.9,507.2,1029.1, 96.3,291,518.4,504.8,1023.1,97.0,6.0
PSAT  ,1040,ACADEMY 20,0110,ACADEMY ONLINE,    37,35,492.3,458.0, 950.3, 94.6,< 16,*,*,*,*,*
PSAT  ,1040,ACADEMY 20,0209,ASPEN VALLEY CAMPUS,    22,20,483.5,443.0, 926.5, 90.9,32,473.8,434.7,908.4,97.0,18.1
PSAT  ,1040,ACADEMY 20,1630,THE CLASSICAL ACADEMY HIGH SCHOOL,   176,166,546.3,530.3,1076.6, 94.3,163,528.9,512.8,1041.7,97.6,34.9
PSAT  ,1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS HIGH SCHOOL,   290,276,527.5,518.9,1046.5, 95.2,292,518.0,499.0,1017.1,96.1,29.4
PSAT  ,1040,ACADEMY 20,5126,LIBERTY HIGH SCHOOL,   370,354,495.5,481.0, 976.5, 95.7,428,502.6,494.8,997.3,98.2,-20.8
PSAT  ,1040,ACADEMY 20,6937,PINE CREEK HIGH SCHOOL,   380,361,521.1,502.9,1024.0, 95.0,355,515.7,497.2,1012.9,95.2,11.1
PSAT  ,1040,ACADEMY 20,7240,RAMPART HIGH SCHOOL,   433,385,505.8,500.5,1006.3, 88.9,402,504.6,493.0,997.7,97.6,8.6
PSAT  ,1040,ACADEMY 20,8779,TCA COLLEGE PATHWAYS,    87,81,557.5,515.4,1073.0, 93.1,80,564.0,526.0,1090.0,93.0,-17.0
PSAT  ,1050,ELLICOTT 22,0000,DISTRICT RESULTS,    58,58,425.2,430.9, 856.0,100.0,59,443.9,439.3,883.2,100.0,-27.2
PSAT  ,1050,ELLICOTT 22,2642,ELLICOTT SENIOR HIGH SCHOOL,    58,58,425.2,430.9, 856.0,100.0,59,443.9,439.3,883.2,100.0,-27.2
PSAT  ,1060,PEYTON 23 JT,0000,DISTRICT RESULTS,    75,64,450.6,430.9, 881.6, 85.3,70,471.0,452.1,923.1,93.3,-41.5
PSAT  ,1060,PEYTON 23 JT,1346,CAREER BUILDING ACADEMY,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,1060,PEYTON 23 JT,6626,PEYTON ONLINE ACADEMY,*,< 16,*,*,*,*,NA,NA,NA,NA,NA,*
PSAT  ,1060,PEYTON 23 JT,6902,PEYTON SENIOR HIGH SCHOOL,    62,60,455.0,438.0, 893.0, 96.8,59,489.7,463.4,953.1,96.7,-60.1
PSAT  ,1070,HANOVER 28,0000,DISTRICT RESULTS,    16,16,440.6,435.6, 876.3,100.0,23,415.7,418.3,833.9,92.0,42.4
PSAT  ,1070,HANOVER 28,3758,HANOVER JUNIOR-SENIOR HIGH SCHOOL,    16,16,440.6,435.6, 876.3,100.0,23,415.7,418.3,833.9,92.0,42.4
PSAT  ,1080,LEWIS-PALMER 38,0000,DISTRICT RESULTS,   570,522,525.4,513.4,1038.8, 91.6,479,529.6,512.1,1041.7,94.7,-2.9
PSAT  ,1080,LEWIS-PALMER 38,5100,LEWIS-PALMER HIGH SCHOOL,   277,253,516.9,503.5,1020.4, 91.3,204,522.7,503.0,1025.7,93.6,-5.3
PSAT  ,1080,LEWIS-PALMER 38,6678,PALMER RIDGE HIGH SCHOOL,   293,269,533.4,522.8,1056.2, 91.8,275,534.6,518.9,1053.5,95.5,2.7
PSAT  ,1110,FALCON 49,0000,DISTRICT RESULTS,  1614,1430,452.4,431.8, 884.2, 88.6,1390,447.1,432.7,879.8,85.9,4.4
PSAT  ,1110,FALCON 49,2877,SPRINGS STUDIO FOR ACADEMIC EXCELLENCE,    59,54,478.5,442.4, 920.9, 91.5,66,477.3,435.0,912.3,97.1,8.6
