2017 SAT and PSAT10 District and School Results  - EMBARGOED UNTIL 10:00 A.M. ON AUGUST 17TH ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Means are calculated using only valid scores in the denominator.,,,,,,,,,,,,,,,,
* Values suppressed to protect student privacy.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Test,District Number,District Name,School Number,School Name,Total Students,Valid Scores,Evidence Based Reading and Writing Mean Score,Math Mean Score,Overall Mean Score,Participation Percent,2016 Valid Scores,2016 Evidence Based Reading and Writing Mean Score,2016 Math Mean Score,2016 Overall Mean Score,2016 Participation Percent,Mean Overall Score Change
PSAT  ,0060,STRASBURG 31J,7133,PRAIRIE CREEKS CHARTER SCHOOL,*,< 16,*,*,*,*,NA,NA,NA,NA,NA,*
PSAT  ,0060,STRASBURG 31J,8334,STRASBURG HIGH SCHOOL,    76,76,462.8,445.0, 907.8,100.0,77,477.8,452.3,930.1,93.9,-22.3
PSAT  ,0070,WESTMINSTER PUBLIC SCHOOLS,0000,DISTRICT RESULTS,   612,555,405.4,409.7, 815.0, 90.7,595,404.4,409.8,814.2,91.1,0.8
PSAT  ,0070,WESTMINSTER PUBLIC SCHOOLS,3931,HIDDEN LAKE HIGH SCHOOL,    45,42,398.1,400.2, 798.3, 93.3,49,401.0,391.8,792.9,96.1,5.4
PSAT  ,0070,WESTMINSTER PUBLIC SCHOOLS,9466,WESTMINSTER HIGH SCHOOL,   565,512,406.1,410.5, 816.6, 90.6,544,404.8,411.3,816.1,90.8,0.5
PSAT  ,0100,ALAMOSA RE-11J,0000,DISTRICT RESULTS,   170,168,460.4,456.1, 916.5, 98.8,154,452.5,444.2,896.6,96.9,19.9
PSAT  ,0100,ALAMOSA RE-11J,0118,ALAMOSA HIGH SCHOOL,   161,159,463.0,459.7, 922.7, 98.8,143,454.5,448.2,902.7,98.6,20.0
PSAT  ,0100,ALAMOSA RE-11J,0368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0110,SANGRE DE CRISTO RE-22J,0000,DISTRICT RESULTS,    29,29,448.3,435.5, 883.8,100.0,17,458.8,452.4,911.2,94.4,-27.4
PSAT  ,0110,SANGRE DE CRISTO RE-22J,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,    29,29,448.3,435.5, 883.8,100.0,17,458.8,452.4,911.2,94.4,-27.4
